objectid,title,author,age_group,boy,girl,gender_neutral,required_cast,ensemble,length,genre,date_published,date_description,publisher,licensing,musical,adaptation,adaptation_of,description,colocated,notes,format
40,Belle of Amherst,"Luce, William",10-18,0,1,0,1,,78,Drama;History,1976,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"The Belle of Amherst is a one-woman play by William Luce. Based on the life of poet Emily Dickinson from 1830 to 1886, and set in her Amherst, Massachusetts, home, the 1976 play makes use of her work, diaries, and letters to recollect her encounters with the significant people in her life – family, close friends, and acquaintances. It balances the agony of her seclusion with the brief bright moments when she was able to experience some joy.",,One woman play; has 15 characters so can be expanded.,
41,Bermuda Triangle Mystery,"Murray, John",10-18,2,3,5,10,,20,Comedy,1979,,"Plays, Inc.",FALSE,FALSE,FALSE,,A pleasure cruise becomes a nightmare when the yacht Enchantress sails into the Bermuda Triangle.,,Part of Fifteen plays for teen-agers: A collection of one-act royalty-free comedies and mysteries by John Murray,
42,Between Daylight and Boonville,"Williams, Matt",08-18,3,5,0,8,,83,Drama,1988,,"Samuel French, Inc.",TRUE,FALSE,FALSE,,"The play is set in the coal mining country of southern Indiana. Carla, a twenty six year old high school dropout, wife, and mother, dreams of packing up and moving to escape her dreary existence. She is teased, threatened, and cajoled by her friends as they settle into an ordinary day of trading gossip, reading magazines, and prattling about sex while the children dart in and out. An ordinary day becomes extraordinary when the local mine resounds with an explosion. The play is a touching and humorous study of women who posses the courage, the humor, and the dignity to rise above the grimmer facts of their existence.",,,
43,Beyond the Fringe,"Bennett, Alan",12-18,0,0,4,4,,75,Comedy,1960,,"Samuel French, Inc.",TRUE,FALSE,FALSE,,"Beyond the Fringe was a British comedy stage revue written and performed by Alan Bennett, Peter Cook, Jonathan Miller, and Dudley Moore. It debuted at the 1960 Edinburgh Festival and went on to play in London's West End and then in America, both on tour and on New York's Broadway in the early 1960s. Hugely successful, it is widely regarded as seminal to the ""satire boom"", the rise of satirical comedy in 1960s Britain.","Also located in the folder labeled ""Night of the Slaughtered Chicken"".",,
44,Biedermann and the Firebugs,"Frisch, Max",14-18,1,1,7,9,,43,Comedy,1958,,Unknown,TRUE,FALSE,FALSE,,"The Firebugs is a dark comedy by Swiss playwright Max Frisch. Gottlieb Biedermann, a cautious German businessman, discovers that the two men who have entered his home disguised as salesmen are the arsonists who have already burned down much of the town. He and his wife, concerned only with saving themselves and their home, lodge them, feed them a sumptuous dinner, and provide them with all the matches they can possibly use — all of which serves only to postpone the inevitable holocaust.",,,
45,"Big Toe: A Jump Tale, The","Stephens, Jeffryn",04-10,1,1,8,10,TRUE,6,Folktales,1994,,YPPC,FALSE,FALSE,TRUE,An adaptation of The Big Toe from Scary Stories to Tell in the Dark by Alvin Schwartz,"A boy is frustrated with not having any meat for his dinner. When he is hoeing the garden, he comes across what looks like a big toe stuck in the dirt. He eats it for dinner, but the monster whose toe it was wants it back.",,,
513,Big Top Murders,"Murray, John",12-18,7,5,0,12,FALSE,,Mystery,1979,,Playscripts Inc.,TRUE,FALSE,TRUE,,A mysterious death at the circus creates a crisis.,,,
46,"Billy Budd, scene","Chapman, Robert",14-18,2,0,0,2,FALSE,4,Scene,1951,,Dramatists Play Service Inc.,TRUE,FALSE,TRUE,Adapted from Herman Melville's posthumously published novella.,"Billy Budd, an American sailor impressed by the British during a war between England and France, has been brought aboard H.M.S. Indomitable, and assigned to duty. A pleasant lad, innocent of guile or malice, he becomes popular with men and officers—all but Claggart, the hated Master-at-Arms. Claggart, the incarnation of evil, is unable to admit that there can exist a spirit as utterly good as that of Billy, and he does everything to destroy him. Suspecting Billy's friendliness toward himself, and bent on involving him in a mutiny plot, he denounces Billy to Captain Vere. The Captain, who knows Claggart is lying, orders him to repeat his charges to Billy's person. When Claggart does so, Billy is so amazed that he is speechless. The lad's outraged feelings can only be expressed by action, and he strikes Claggart a blow that kills him. The Captain must then try Billy for striking an officer, for which the penalty is death, and the play moves inexorably to its shattering and deeply moving climax.","Co-located in ""Scenes"" folder",Conversation between Billy and Clag.,
47,"Birthday Party, The","Pinter, Harold",10-18,4,2,0,6,,54,Mystery,1959,,"Samuel French, Inc.",TRUE,FALSE,FALSE,,"In Pinter's classic comedy of menace, a small birthday party in a rundown seaside boarding house becomes a nightmare when two sinister strangers arrive unexpectedly.",,,
48,"Black Eagles, monologue","Lee-Rekers, Leslie",14-18,1,0,0,1,FALSE,1,Monologue,1941,,Unknown,TRUE,FALSE,FALSE,,"Roscoe, a member of the elite United States Air Corps Black Eagles, is saddened by the death of a friend in a firefight. Here, he recalls his favorite aunt for whom he also mourns.",,,
49,Blithe Spirit,"Coward, Noel",10-18,2,5,0,7,,86,Comedy,1941,,Concord Theatricals,TRUE,FALSE,FALSE,,"A smash comedy hit on London and Broadway stages, this much-revived classic from the playwright of Private Lives offers wit, conflict and big laughs as a fussy, cantankerous novelist finds himself haunted by the ghost of his late first wife.",,,
50,Blood Photo,"Friedman, Edward",12-18,3,3,0,6,,33,Drama,1969,,Chilton Books,TRUE,FALSE,FALSE,,"A vivid, potent dramatic re-creation of a gradually disintegrating family, a subject that undoubtedly is painfully familiar to the play's progenitor.",,,
51,Blood Wedding,"Garcia Lorca, Federico",14-18,6,10,1,17,,99,Fantasy,1933,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"Two families in a semi-mythical rural Spain are intricately bound in an unbreakable cycle of murder and revenge. The death-bound love triangle at the center of the play fuels these passions to a fever pitch and propels the story to its unstoppable tragic conclusion. An arranged country marriage between the children of rich landowners is about to take place. A past lover, himself in a loveless marriage, cannot allow the wedding to take place and spirits the Bride away, who goes with him willingly on her wedding night. An entire town goes after the lovers in the middle of the night where pursuers and pursued plunge into a realm of deep darkness where the moonlight is not friendly and the forest not shelter enough. Lorca’s image-laden poetry unfolds the story with the fire and power characteristic of his work and the fateful resonance that marked his own tragically short life.",,,
52,"Blue Bird, The","Maeterlinck, Maurice",04-18,3,4,37,44,,61,Fairytales,1903,,Public Domain,FALSE,FALSE,FALSE,,"The story is about a girl called Mytyl and her brother Tyltyl seeking happiness, represented by The Blue Bird of Happiness, aided by the good fairy Bérylune.",,,
